Year,Country,Country_Code,GDP_Billion_USD,GDP_per_Capita_USD,CPI_Inflation_Pct,Unemployment_Pct,Population_M,Current_Account_pct_GDP,exports_pct_gdp,fdi_inflows,govt_debt_pct_gdp
2000,Australia,AU,416.9,21909.0,4.46,6.29,19.03,-3.71,19.356082688226,3.57229745403377,29.4708236736698
2000,New Zealand,NZ,52.62,13641.0,2.62,6.13,3.86,-3.3,35.7454584901409,-2.86529455631185,
2001,Australia,AU,380.36,19734.0,4.41,6.75,19.27,-2.1,22.1097572675813,2.81762721403267,27.6400889435694
2001,New Zealand,NZ,53.87,13883.0,2.63,5.43,3.88,-0.78,35.4310398408851,0.481362352602511,
2002,Australia,AU,396.44,20335.0,2.98,6.38,19.5,-4.04,20.6927681028396,3.69701188608667,25.8412136969849
2002,New Zealand,NZ,66.63,16874.0,2.68,5.28,3.95,-2.1,32.8470717038637,4.27533253207986,32.7763842551838
2003,Australia,AU,468.52,23758.0,2.73,5.93,19.72,-6.26,19.0255629975486,1.9178050221833,25.0320718409237
2003,New Zealand,NZ,88.25,21914.0,1.75,4.74,4.03,-2.41,29.8397254017245,-3.81179323818466,48.2453384728239
2004,Australia,AU,615.64,30886.0,2.34,5.4,19.93,-6.71,17.1350628732794,6.96956991636737,22.8245660455405
2004,New Zealand,NZ,103.91,25420.0,2.29,4.0,4.09,-4.51,29.5434106069527,2.2326303912504,43.8675166117793
2005,Australia,AU,696.81,34535.0,2.69,5.04,20.18,-6.22,18.1951172148922,-3.60113772652235,22.3700818832059
2005,New Zealand,NZ,114.72,27751.0,3.04,3.81,4.13,-7.0,28.2851654320382,1.66201517661775,44.1698490827743
2006,Australia,AU,749.71,36659.0,3.56,4.78,20.45,-6.17,19.8193564623907,4.0750646338694,21.4023842789788
2006,New Zealand,NZ,111.54,26655.0,3.37,3.86,4.18,-7.07,29.6086137531685,2.61132933725814,42.9524894769889
2007,Australia,AU,856.6,41128.0,2.33,4.38,20.83,-7.55,20.1458953527592,5.18803286061474,20.0582738191257
2007,New Zealand,NZ,137.19,32480.0,2.38,3.66,4.22,-6.8,29.2731139479196,3.16024444752482,36.9753526219646
2008,Australia,AU,1058.45,49811.0,4.35,4.24,21.25,-4.87,20.1044121403643,4.26757732505596,18.1404251935735
2008,New Zealand,NZ,133.44,31325.0,3.96,4.17,4.26,-7.69,32.0052043552236,1.94246279372292,36.0132953366238
2009,Australia,AU,931.76,42955.0,1.77,5.56,21.69,-5.21,22.9369071089635,3.10519028312049,23.7918159800555
2009,New Zealand,NZ,121.66,28277.0,2.12,6.12,4.3,-2.47,28.6654584101329,-0.0430577448192459,31.8653341616565
2010,Australia,AU,1152.57,52314.0,2.92,5.21,22.03,-3.99,19.7322237124156,3.08482804330762,28.5706752868622
2010,New Zealand,NZ,146.89,33762.0,2.3,6.56,4.35,-2.33,30.197296130602,0.194915236759354,34.7227798053528
2011,Australia,AU,1402.94,62799.0,3.3,5.08,22.34,-3.25,21.3710952598475,4.67434620832808,30.0025299553744
2011,New Zealand,NZ,168.48,38432.0,4.03,6.49,4.38,-2.86,30.3601069067379,0.818121298166467,48.0816617433301
2012,Australia,AU,1552.73,68301.0,1.76,5.22,22.73,-4.43,21.4212330245448,3.70774989384992,39.3096720165071
2012,New Zealand,NZ,176.56,40054.0,1.06,6.93,4.41,-3.9,28.8015197819443,2.17878824315978,51.5541055220579
2013,Australia,AU,1583.74,68477.0,2.45,5.66,23.13,-3.24,19.8931411047873,3.43950309398958,37.4031396926122
2013,New Zealand,NZ,191.01,43000.0,1.13,5.84,4.44,-3.06,28.7976232386808,-0.0363955159235945,46.4245970754158
2014,Australia,AU,1474.68,62817.0,2.49,6.08,23.48,-3.08,20.9959179912807,4.28599049307814,41.5409287207942
2014,New Zealand,NZ,201.52,44618.0,1.23,5.43,4.52,-3.09,27.9544041792052,1.61353184490057,43.8708941737301
2015,Australia,AU,1356.81,56970.0,1.51,6.06,23.82,-4.3,19.9846454503255,3.456117831131,46.293292747612
2015,New Zealand,NZ,178.22,38665.0,0.29,5.42,4.61,-2.62,27.9337478332662,-0.0411688255414608,42.9013651890488
2016,Australia,AU,1211.59,50084.0,1.28,5.71,24.19,-3.6,19.2031438783351,3.54660341826144,54.463570652249
2016,New Zealand,NZ,189.1,40114.0,0.65,5.15,4.71,-2.15,26.6113743203496,1.0619303911252,41.3592419573932
2017,Australia,AU,1330.89,54118.0,1.95,5.59,24.59,-3.01,21.1718412211076,3.62158795648508,53.1037976577229
2017,New Zealand,NZ,206.75,42950.0,1.85,4.74,4.81,-2.92,27.5634416584186,1.15602540847251,38.629234026174
2018,Australia,AU,1433.14,57410.0,1.91,5.34,24.96,-2.59,21.8125736575066,4.23450805251819,54.3001380799371
