Date,GDP_AUD_Million,GDP_Growth_YoY_Pct
1990-03-31,253527.0,3.5
1990-06-30,253871.0,1.5
1990-09-30,252550.0,0.1
1990-12-31,253941.0,0.9
1991-03-31,250751.0,-1.1
1991-06-30,250227.0,-1.4
1991-09-30,251370.0,-0.5
1991-12-31,251546.0,-0.9
1992-03-31,253539.0,1.1
1992-06-30,255375.0,2.1
1992-09-30,257851.0,2.6
1992-12-31,263251.0,4.7
1993-03-31,265076.0,4.6
1993-06-30,266590.0,4.4
1993-09-30,266912.0,3.5
1993-12-31,271795.0,3.2
1994-03-31,276328.0,4.2
1994-06-30,279621.0,4.9
1994-09-30,281753.0,5.6
1994-12-31,284861.0,4.8
1995-03-31,284635.0,3.0
1995-06-30,285991.0,2.3
1995-09-30,292600.0,3.8
1995-12-31,292553.0,2.7
1996-03-31,297073.0,4.4
1996-06-30,298975.0,4.5
1996-09-30,301360.0,3.0
1996-12-31,304236.0,4.0
1997-03-31,306373.0,3.1
1997-06-30,315512.0,5.5
1997-09-30,315980.0,4.9
1997-12-31,320542.0,5.4
1998-03-31,322495.0,5.3
1998-06-30,325872.0,3.3
1998-09-30,331941.0,5.1
1998-12-31,337084.0,5.2
1999-03-31,339593.0,5.3
1999-06-30,340877.0,4.6
1999-09-30,344646.0,3.8
1999-12-31,350510.0,4.0
2000-03-31,351882.0,3.6
2000-06-30,355304.0,4.2
2000-09-30,356301.0,3.4
2000-12-31,354898.0,1.3
2001-03-31,358245.0,1.8
2001-06-30,361385.0,1.7
2001-09-30,365519.0,2.6
2001-12-31,369880.0,4.2
2002-03-31,372764.0,4.1
2002-06-30,379182.0,4.9
2002-09-30,380118.0,4.0
2002-12-31,383312.0,3.6
2003-03-31,384195.0,3.1
2003-06-30,385697.0,1.7
2003-09-30,392275.0,3.2
2003-12-31,398941.0,4.1
2004-03-31,401918.0,4.6
2004-06-30,404879.0,5.0
2004-09-30,407620.0,3.9
2004-12-31,410742.0,3.0
2005-03-31,414115.0,3.0
2005-06-30,415961.0,2.7
2005-09-30,420475.0,3.2
2005-12-31,424018.0,3.2
2006-03-31,424302.0,2.5
2006-06-30,425319.0,2.2
2006-09-30,431834.0,2.7
2006-12-31,437260.0,3.1
2007-03-31,443222.0,4.5
2007-06-30,445997.0,4.9
2007-09-30,451367.0,4.5
2007-12-31,453019.0,3.6
2008-03-31,458046.0,3.3
2008-06-30,459602.0,3.1
2008-09-30,462855.0,2.5
2008-12-31,460883.0,1.7
2009-03-31,465520.0,1.6
2009-06-30,468393.0,1.9
2009-09-30,470050.0,1.6
2009-12-31,473826.0,2.8
2010-03-31,475934.0,2.2
2010-06-30,478897.0,2.2
2010-09-30,482263.0,2.6
2010-12-31,486298.0,2.6
2011-03-31,484880.0,1.9
2011-06-30,490735.0,2.5
2011-09-30,497577.0,3.2
2011-12-31,503106.0,3.5
2012-03-31,508343.0,4.8
2012-06-30,511992.0,4.3
2012-09-30,515130.0,3.5
2012-12-31,517406.0,2.8
2013-03-31,520081.0,2.3
2013-06-30,522048.0,2.0
2013-09-30,526346.0,2.2
2013-12-31,530450.0,2.5
2014-03-31,534586.0,2.8
2014-06-30,537250.0,2.9
2014-09-30,539402.0,2.5
2014-12-31,541385.0,2.1
2015-03-31,546635.0,2.3
2015-06-30,547281.0,1.9
2015-09-30,552613.0,2.4
2015-12-31,556043.0,2.7
2016-03-31,561139.0,2.7
2016-06-30,564835.0,3.2
2016-09-30,564782.0,2.2
2016-12-31,571367.0,2.8
2017-03-31,573149.0,2.1
2017-06-30,576579.0,2.1
2017-09-30,582043.0,3.1
2017-12-31,584367.0,2.3
2018-03-31,590393.0,3.0
2018-06-30,594775.0,3.2
2018-09-30,597020.0,2.6
2018-12-31,598542.0,2.4
2019-03-31,602883.0,2.1
2019-06-30,604726.0,1.7
2019-09-30,608257.0,1.9
2019-12-31,611850.0,2.2
2020-03-31,610510.0,1.3
2020-06-30,569344.0,-5.9
2020-09-30,589128.0,-3.1
2020-12-31,609184.0,-0.4
2021-03-31,622355.0,1.9
2021-06-30,627461.0,10.2
2021-09-30,616714.0,4.7
2021-12-31,639091.0,4.9
2022-03-31,645027.0,3.6
2022-06-30,651417.0,3.8
2022-09-30,654547.0,6.1
2022-12-31,659948.0,3.3
2023-03-31,663102.0,2.8
2023-06-30,666120.0,2.3
2023-09-30,668806.0,2.2
2023-12-31,668754.0,1.3
2024-03-31,670388.0,1.1
2024-06-30,672076.0,0.9
2024-09-30,674130.0,0.8
2024-12-31,677077.0,1.2
2025-03-31,678840.0,1.3
2025-06-30,685416.0,2.0
2025-09-30,688034.0,2.1
2025-12-31,694041.0,2.5
2026-03-31,695945.0,2.5
