Date,OO_Outstanding_All_Pct,OO_Outstanding_Variable_Pct,OO_New_All_Pct,Inv_Outstanding_All_Pct
2019-07-31,3.8,3.8,3.5,3.9
2019-08-31,3.8,3.8,3.5,3.9
2019-09-30,3.8,3.8,3.5,3.9
2019-10-31,3.7,3.6,3.3,3.7
2019-11-30,3.7,3.6,3.3,3.7
2019-12-31,3.6,3.6,3.3,3.7
2020-01-31,3.6,3.6,3.3,3.6
2020-02-29,3.6,3.6,3.3,3.6
2020-03-31,3.4,3.3,3.0,3.3
2020-04-30,3.3,3.3,3.0,3.3
2020-05-31,3.3,3.3,2.9,3.3
2020-06-30,3.3,3.2,2.9,3.3
2020-07-31,3.2,3.2,2.9,3.3
2020-08-31,3.2,3.2,2.9,3.2
2020-09-30,3.2,3.2,2.9,3.2
2020-10-31,3.1,3.2,2.9,3.2
2020-11-30,3.1,3.2,2.9,3.2
2020-12-31,3.1,3.2,2.8,3.1
2021-01-31,3.0,3.1,2.8,3.1
2021-02-28,3.0,3.1,2.8,3.1
2021-03-31,2.9,3.1,2.8,3.1
2021-04-30,2.9,3.1,2.8,3.1
2021-05-31,2.9,3.1,2.8,3.0
2021-06-30,2.8,3.1,2.7,3.0
2021-07-31,2.8,3.0,2.7,3.0
2021-08-31,2.8,3.0,2.7,3.0
2021-09-30,2.8,3.0,2.7,3.0
2021-10-31,2.7,3.0,2.6,2.9
2021-11-30,2.7,3.0,2.6,2.9
2021-12-31,2.7,3.0,2.6,2.9
2022-01-31,2.7,2.9,2.5,2.8
2022-02-28,2.7,2.9,2.5,2.8
2022-03-31,2.6,2.9,2.5,2.7
2022-04-30,2.6,2.9,2.4,2.7
2022-05-31,2.8,3.1,2.6,2.9
2022-06-30,3.1,3.5,3.1,3.4
2022-07-31,3.4,4.0,3.5,3.9
2022-08-31,3.7,4.4,4.0,4.3
2022-09-30,4.0,4.9,4.4,4.8
2022-10-31,4.2,5.1,4.6,5.0
2022-11-30,4.4,5.3,4.8,5.1
2022-12-31,4.6,5.5,5.0,5.3
2023-01-31,4.6,5.5,5.0,5.3
2023-02-28,4.7,5.7,5.2,5.5
2023-03-31,4.9,5.9,5.4,5.7
2023-04-30,4.9,5.8,5.4,5.7
2023-05-31,5.1,6.0,5.7,5.9
2023-06-30,5.4,6.2,5.9,6.2
2023-07-31,5.4,6.2,6.0,6.2
2023-08-31,5.5,6.2,6.0,6.3
2023-09-30,5.5,6.2,6.0,6.3
2023-10-31,5.6,6.2,6.0,6.3
2023-11-30,5.8,6.4,6.2,6.5
2023-12-31,5.9,6.4,6.2,6.5
2024-01-31,5.9,6.4,6.3,6.5
2024-02-29,5.9,6.4,6.3,6.5
2024-03-31,6.0,6.4,6.3,6.5
2024-04-30,6.0,6.4,6.3,6.5
2024-05-31,6.0,6.4,6.3,6.5
2024-06-30,6.0,6.4,6.3,6.5
2024-07-31,6.1,6.4,6.3,6.5
2024-08-31,6.1,6.4,6.3,6.5
2024-09-30,6.1,6.3,6.3,6.5
2024-10-31,6.1,6.3,6.3,6.5
2024-11-30,6.1,6.3,6.2,6.5
2024-12-31,6.1,6.3,6.2,6.5
2025-01-31,6.2,6.3,6.3,6.5
2025-02-28,6.0,6.2,6.1,6.3
2025-03-31,6.0,6.1,6.0,6.2
2025-04-30,6.0,6.1,6.0,6.2
2025-05-31,5.8,5.9,5.8,6.0
2025-06-30,5.8,5.8,5.8,5.9
2025-07-31,5.8,5.8,5.8,5.9
2025-08-31,5.5,5.5,5.5,5.7
2025-09-30,5.5,5.5,5.5,5.7
2025-10-31,5.5,5.5,5.5,5.7
2025-11-30,5.5,5.5,5.5,5.7
2025-12-31,5.5,5.5,5.5,5.7
2026-01-31,5.5,5.5,5.5,5.7
2026-02-28,5.7,5.8,5.7,5.9
2026-03-31,5.9,5.9,5.9,6.1
2026-04-30,6.0,6.0,6.0,6.2
