Date,Labour_Force_000,Participation_Rate_Pct,Employment_000,Employment_Growth_YoY_Pct,Unemployment_Rate_Pct
1990-01-31,8352.4,63.5,7842.0,3.8,6.1
1990-02-28,8382.2,63.6,7846.6,3.2,6.4
1990-03-31,8380.0,63.5,7861.5,3.1,6.2
1990-04-30,8393.1,63.6,7866.1,2.7,6.3
1990-05-31,8448.9,63.9,7899.4,2.4,6.5
1990-06-30,8459.1,63.9,7900.2,2.5,6.6
1990-07-31,8501.5,64.1,7898.1,2.1,7.1
1990-08-31,8480.8,63.9,7869.2,1.2,7.2
1990-09-30,8468.6,63.7,7844.1,0.8,7.4
1990-10-31,8477.1,63.7,7829.7,0.5,7.6
1990-11-30,8484.0,63.7,7809.9,-0.4,7.9
1990-12-31,8494.4,63.7,7813.1,-0.2,8.0
1991-01-31,8454.4,63.3,7744.2,-1.2,8.4
1991-02-28,8489.5,63.5,7758.1,-1.1,8.6
1991-03-31,8480.7,63.4,7701.7,-2.0,9.2
1991-04-30,8537.9,63.7,7695.9,-2.2,9.9
1991-05-31,8501.8,63.4,7693.9,-2.6,9.5
1991-06-30,8468.1,63.1,7658.7,-3.1,9.6
1991-07-31,8447.8,62.8,7630.4,-3.4,9.7
1991-08-31,8464.4,62.9,7635.7,-3.0,9.8
1991-09-30,8497.8,63.1,7645.2,-2.5,10.0
1991-10-31,8461.3,62.7,7616.2,-2.7,10.0
1991-11-30,8459.8,62.7,7597.1,-2.7,10.2
1991-12-31,8508.3,63.0,7617.0,-2.5,10.5
1992-01-31,8511.8,62.9,7630.8,-1.5,10.3
1992-02-29,8538.6,63.0,7650.2,-1.4,10.4
1992-03-31,8526.3,62.8,7631.2,-0.9,10.5
1992-04-30,8516.3,62.7,7624.5,-0.9,10.5
1992-05-31,8526.3,62.7,7620.9,-0.9,10.6
1992-06-30,8558.7,62.9,7633.6,-0.3,10.8
1992-07-31,8610.4,63.3,7651.2,0.3,11.1
1992-08-31,8592.4,63.1,7671.1,0.5,10.7
1992-09-30,8542.0,62.6,7635.1,-0.1,10.6
1992-10-31,8598.0,63.0,7644.4,0.4,11.1
1992-11-30,8518.0,62.4,7569.4,-0.4,11.1
1992-12-31,8560.1,62.6,7599.7,-0.2,11.2
1993-01-31,8580.4,62.7,7650.8,0.3,10.8
1993-02-28,8520.4,62.2,7582.0,-0.9,11.0
1993-03-31,8561.2,62.4,7631.5,0.0,10.9
1993-04-30,8530.8,62.2,7612.3,-0.2,10.8
1993-05-31,8533.7,62.1,7613.2,-0.1,10.8
1993-06-30,8567.8,62.4,7626.2,-0.1,11.0
1993-07-31,8565.9,62.3,7628.1,-0.3,10.9
1993-08-31,8595.8,62.4,7651.7,-0.3,11.0
1993-09-30,8593.4,62.4,7670.3,0.5,10.7
1993-10-31,8669.1,62.9,7719.2,1.0,11.0
1993-11-30,8680.2,62.9,7729.7,2.1,10.9
1993-12-31,8679.4,62.8,7745.5,1.9,10.8
1994-01-31,8683.9,62.8,7766.2,1.5,10.6
1994-02-28,8693.8,62.8,7789.7,2.7,10.4
1994-03-31,8710.8,62.8,7808.8,2.3,10.4
